#name,dist,size,orbit,rot,tilt,tex,atmo,ar,ag,ab,rings,rr,rg,rb,ri,ro,type,parent
Sun,0.0,2.0,0.0,0.02,0.0,sun.jpg,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.3,2.1,1,
Mercury,5.0,0.2,0.15,0.01,0.03,mercury.jpg,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.3,2.1,0,Sun
Venus,7.0,0.5,0.12,0.005,177.3,venus.jpg,1,0.9,0.8,0.5,0,0.0,0.0,0.0,1.3,2.1,0,Sun
Earth,9.5,0.55,0.1,0.5,23.4,earth.jpg,1,0.3,0.5,1.0,0,0.0,0.0,0.0,1.3,2.1,0,Sun
Moon,1.0,0.15,1.2,0.1,0.0,moon.jpg,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.3,2.1,2,Earth
Mars,12.5,0.35,0.08,0.45,25.2,mars.jpg,1,1.0,0.4,0.2,0,0.0,0.0,0.0,1.3,2.1,0,Sun
Jupiter,20.0,1.4,0.04,1.2,3.1,jupiter.jpg,1,0.8,0.7,0.6,0,0.0,0.0,0.0,1.3,2.1,0,Sun
Saturn,27.0,1.2,0.03,1.1,26.7,saturn.jpg,1,0.9,0.8,0.6,1,0.90,0.80,0.55,1.3,2.1,0,Sun
Uranus,34.0,0.9,0.02,0.8,97.77,uranus.jpg,1,0.5,0.8,0.9,1,0.75,0.85,0.90,1.5,1.7,0,Sun
Neptune,41.0,0.85,0.015,0.7,28.3,neptune.jpg,1,0.3,0.4,0.9,0,0.0,0.0,0.0,1.3,2.1,0,Sun
